Day,Subscribed,Limited,Grace,Trial,Virtual
2013-08-27,5156,38518,,,16354
2013-08-28,5184,38713,,,16499
2013-08-29,5205,38867,,,16647
2013-08-30,5241,39351,,,16796
2013-08-31,5287,39599,,,16935
2013-09-01,5337,40023,,,17068
2013-09-02,5388,40415,,,17246
2013-09-03,5446,40635,,,17430
2013-09-04,5483,40964,,,17571
2013-09-05,5505,41241,,,17713
2013-09-06,5527,41434,,,17856
2013-09-07,5558,41550,,,17986
2013-09-08,5591,41679,,,18097
2013-09-09,5626,41799,,,18205
2013-09-10,5648,41929,,,18305
2013-09-11,5667,42063,,,18421
2013-09-12,5691,42200,,,18554
2013-09-13,5711,42322,,,18658
2013-09-14,5729,42427,,,18749
2013-09-15,5754,42508,,,18861
2013-09-16,5785,42617,,,18959
2013-09-17,5807,42731,,,19097
2013-09-18,5828,42848,,,19204
2013-09-19,5843,43010,,,19268
2013-09-20,5877,43127,,,19367
2013-09-21,5900,43230,,,19450
2013-09-22,5926,43370,,,19532
2013-09-23,5964,43496,,,19633
2013-09-24,5983,43627,,,19725
2013-09-25,5995,43753,,,19814
2013-09-26,6009,43870,,,19929
2013-09-27,6028,43993,,,20029
2013-09-28,6047,44101,,,20128
2013-09-29,6079,44253,,,20219
2013-09-30,6102,44380,,,20329
2013-10-01,6108,44610,,,20440
2013-10-02,6134,44839,,,20550
2013-10-03,6164,44995,,,20658
2013-10-04,6196,45120,,,20751
2013-10-05,6217,45221,,,20838
2013-10-06,6243,45332,,,20935
2013-10-07,6294,45509,,,21072
2013-10-08,6324,45736,,,21211
2013-10-09,6348,45858,,,21317
2013-10-10,6371,45981,,,21402
2013-10-11,6392,46111,,,21489
2013-10-12,6413,46214,,,21564
2013-10-13,6439,46308,,,21661
2013-10-14,6466,46392,,,21781
2013-10-15,6488,46539,,,21892
2013-10-16,6498,46654,,,21986
2013-10-17,6514,46741,,,22107
2013-10-18,6537,46831,,,22175
2013-10-19,6546,46916,,,22239
2013-10-20,6569,47021,,,22310
2013-10-21,6597,47126,,,22435
2013-10-22,6624,47228,,,22533
2013-10-23,6654,47306,,,22617
2013-10-24,6671,47536,,,22738
2013-10-25,6694,47706,,,22832
2013-10-26,6718,47824,,,22881
2013-10-27,6749,47951,,,22970
2013-10-28,6790,48067,,,23054
2013-10-29,6806,48238,,,23159
2013-10-30,6812,48351,,,23251
2013-10-31,6814,48472,,,23335
2013-11-01,6830,48611,,,23475
2013-11-02,6849,48737,,,23552
2013-11-03,6881,48874,,,23642
2013-11-04,6913,49023,,,23757
2013-11-05,6940,49164,,,23857
